latitude,longitude
514534.457,428900.287
532243.329,426055.405
564224.325,436275.007
551439.013,404492.795
549937.681,396515.819
549439.705,408575.628
549109.576,434008.692
564668.951,437663.334
562990.021,436871.621
562115.098,437369.28
564668.316,438609.093
564033.817,435053.298
562226.49,439555.19
520479.729,441999.534
520767.142,443804.221
533292.783,415115.603
536607.906,415858.678
534970.396,415575.641
560741.185,434895.961
566411.006,436417.74
567637.856,437499.677
512603.765,445052.127
520389.284,449590.808
520078.84,450154.929
518485.706,450039.594
522056.999,444891.88
520614.578,455110.658
521527.225,464085.94
557074.363,429476.653
561350.517,436892.836
562338.655,427864.483
562529.304,427085.972
562589.221,440455.41
564234.96,439987.558
563747.345,437680.574
565848.894,435676.436
514839.794,459650.969
553584.89,420189.485
552659.511,420765.272
554086.547,430088.502
553820.606,431384.766
552929.75,433711.583
557197.147,437860.175
557649.984,439430.919
563807.308,432374.589
513924.553,432321.546
513806.907,430948.901
517036.139,404978.086
516683.815,405334.462
564763.359,435684.407
565196.242,435740.516
557670.558,438630.785
558575.19,438434.709
562213.601,425222.109
561579.736,422639.419
591016.592,429634.024
513246.341,430658.117
515344.532,422627.356
515188.833,427685.111
540225.201,398196.051
549083.179,433237.364
549248.794,434559.442
549006.482,441033.948
563380.47,435601.286
565558.297,431407.323
519626.979,449502.551
526597.942,427114.66
565726.415,436172.149
523734.42,446370.495
523819.756,446682
538774.49,437239.769
564112.306,430913.517
563080.96,430328.494
563515.664,438146.065
513197.471,429371.909
515707.774,427539.582
515786.429,428886.428
516719.296,453198.125
517479.997,447922.846
517729.852,448934.968
518155.421,455217.773
518677.073,472776.308
519650.573,449912.051
519622.198,448990.475
520241.718,448651.961
524320.448,446370.321
525287.095,427489.556
556691.658,438918.721
541600.947,441203.477
563419.55,430748.082
564197.039,433904.226
561785.083,434957.482
563188.802,431712.915
553584.991,436089.291
552901.726,434343.788
553844.721,437106.819
553704.97,440231.731
556910.2,438382.897
557671.823,439679.196
564856.864,430488.055
556902.014,438750.154
561584.904,438466.994
563748.959,433539.5
515258.534,427048.876
515960.585,427699.163
516462.263,429498.52
518290.83,444359.102
517112.04,447581.892
517514.777,449171.936
557633.11,434908.571
562610.877,416950.936
562127.413,417289.233
560959.16,428751.331
563337.668,426875.382
562283.9,423877.02
515523.039,427429.607
541542.881,441729.872
540817.52,442774.347
568200.7,385276.831
563323.479,385829.9
561570.933,378215.076
569539.349,412421.624
565150.191,439281.807
566704.476,437594.092
564431.4,431722.629
562612.568,431355.472
567127.35,436218.031
563337.57,432854.199
567523.987,436656.987
563935.339,420287.121
564354.526,419957.828
567581.915,411443.763
564706.859,411597.86
518546.55,447018.302
564309.521,417243.583
566856.386,416407.565
567583.39,420372.567
551210.487,433032.469
581302.644,408508.664
565330.931,426704.586
564854.619,418444.128
564246.572,427160.177
564838.589,428084.986
564184.939,429115.748
564953.675,425569.077
565810.088,429355.248
567644.03,424807.542
569247.744,435498.007
569269.718,422664.28
571841.928,415262.145
582097.037,414131.402
579990.921,415640.82
584553.306,412192.869
558854.84,426530.663
556142.262,426698.791
539598.945,423848.062
549421.781,412287.657
558747.245,439527.836
559165.813,439428.665
558449.14,439601.004
556081.029,429905.009
538290.07,440578.319
564983.929,434162.117
537771.794,433206.408
571472.837,435041.574
572122.671,423657.662
564228.303,425602.849
571623.589,434636.393
551983.667,412435.928
550922.38,410515.105
627985.939,420157.697
603261.467,396828.693
586847.454,428312.355
648732.615,398008.998
553817.98,367896.296
555185.584,386988.465
521901.816,444015.402
560572.738,368474.781
564067.515,375172.209
565863.069,375572.388
564401.187,420764.57
566066.115,410112.616
564835.059,418292.882
568246.641,424809.959
564587.41,421773.698
565053.749,425044.357
576512.466,424233.533
541073.108,427640.431
586135.654,390312.093
561581.939,401427.097
556829.747,395966.558
559376.041,394509.194
556238.622,396440.169
563884.237,407836.986
562110.731,413599.744
566371.395,418274.41
568108.065,420414.273
565570.74,418411.674
567307.736,419291.839
566619.387,425463.79
565755.227,420999.666
564211.006,438320.625
567011.171,429758.135
565385.793,426025.639
564131.21,428102.007
568301.263,430879.423
569079.79,427169.215
558204.24,438021.44
567902.387,429316.517
568372.595,423397.751
514897.432,432324.843
563049.164,398836.287
566554.479,386043.975
568380.01,399985.501
603646.379,416513.578
537095.451,408653.456
536111.439,433901.221
539317.906,400254.368
530657.921,423516.768
539134.184,419596.405
552719.48,409176.897
556579.344,380033.904
